时间,方向,OpId,命令,长度,摘要,Hex
2026-03-09 15:03:44.173,EVT*,-1,NAK,0,"串口已连接: COM10 (115200/8N1)","--"
2026-03-09 15:03:44.192,TX>,-1,SET_COM,2,"SET_COM send","7E 6C FF 00 00 00 02 00 0F 01 1C 11"
2026-03-09 15:03:44.758,RAW~,-1,NAK,0,"RAW_RX +12 bytes","7E 6C FF 5C 00 00 02 00 5A 0F A7 20"
2026-03-09 15:03:44.758,EVT*,-1,NAK,0,"Verified port: COM10 (cmd=0x5a)","--"
2026-03-09 15:03:44.761,RX<,-1,ACK,2,"ACK for SET_COM","7E 6C FF 5C 00 00 02 00 5A 0F A7 20"
2026-03-09 15:03:44.764,EVT*,-1,NAK,0,"SET_COM ACK without KEY_EVT, schedule Q_TASK probe in 200ms","--"
2026-03-09 15:03:44.964,EVT*,-1,NAK,0,"RX drain reason=pre-send Q_TASK drainBytes=0 recvBufSizeBefore=0 recvBufSizeAfter=0","--"
2026-03-09 15:03:44.964,EVT*,-1,Q_TASK,0,"Startup probe Q_TASK send (skip keyPresent gate)","--"
2026-03-09 15:03:44.964,TX>,-1,Q_TASK,17,"Q_TASK(all) send","7E 6C FF 01 00 00 11 00 04 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF F3 26"
2026-03-09 15:03:45.961,WARN!,-1,Q_TASK,0,"Retry 1/3 for Q_TASK","--"
2026-03-09 15:03:46.967,WARN!,-1,Q_TASK,0,"Retry 2/3 for Q_TASK","--"
2026-03-09 15:03:47.969,EVT*,-1,Q_TASK,0,"Startup Q_TASK probe timeout, key remains not-present","--"
2026-03-09 15:08:08.654,RAW~,-1,NAK,0,"RAW_RX +15 bytes","7E 6C FF 5D 00 00 05 00 11 01 00 00 00 D1 62"
2026-03-09 15:08:08.654,EVT*,-1,NAK,0,"RX drain reason=KEY_PLACED drainBytes=0 recvBufSizeBefore=0 recvBufSizeAfter=0","--"
2026-03-09 15:08:08.654,EVT*,-1,KEY_EVT,5,"KEY_PLACED (钥匙放上), drainBytes=0","7E 6C FF 5D 00 00 05 00 11 01 00 00 00 D1 62"
2026-03-09 15:08:08.663,EVT*,-1,NAK,0,"KEY_STABLE window start (key placed, 600ms)","--"
2026-03-09 15:08:09.263,EVT*,-1,NAK,0,"KEY_STABLE_PRESENT","--"
2026-03-09 15:08:09.266,EVT*,-1,NAK,0,"钥匙已就绪，可发送 Q_TASK/DEL","--"
2026-03-09 15:08:09.268,TX>,-1,SET_COM,2,"SET_COM send","7E 6C FF 02 00 00 02 00 0F 01 1C 11"
2026-03-09 15:08:09.525,RAW~,-1,NAK,0,"RAW_RX +12 bytes","7E 6C FF 5E 00 00 02 00 5A 0F A7 20"
2026-03-09 15:08:09.525,RX<,-1,ACK,2,"ACK for SET_COM","7E 6C FF 5E 00 00 02 00 5A 0F A7 20"
2026-03-09 15:08:27.516,RAW~,1,NAK,0,"[TICKET_PAYLOAD] STATIONID=0X01 HEADER=160B","--"
2026-03-09 15:08:27.516,RAW~,1,NAK,0,"────────────────────────────────────────────","--"
2026-03-09 15:08:27.516,RAW~,1,NAK,0,"  taskId=2030903482265468930 convOk=true taskType=0","--"
2026-03-09 15:08:27.516,RAW~,1,NAK,0,"  stepNum=1 stepTableStart=160 stringAreaStart=168","--"
2026-03-09 15:08:27.516,RAW~,1,NAK,0,"  stepDetail[0] off=168 len=46","--"
2026-03-09 15:08:27.516,RAW~,1,NAK,0,"  taskName off=214 len=59","--"
2026-03-09 15:08:27.516,RAW~,1,NAK,0,"  payloadLen=273 fileSize=273 check=11 01 00 00 01 11 00 00","--"
2026-03-09 15:08:27.517,EVT*,-1,NAK,0,"传票已编码：payload=273B frameCount=1","--"
2026-03-09 15:08:27.520,EVT*,-1,NAK,0,"发送传票帧 1/1 Cmd=0x03 Payload=273B","--"
2026-03-09 15:08:27.523,EVT*,-1,TICKET,276,"TICKET frame 1/1 send","7E 6C 00 00 01 00 14 01 03 00 00 11 01 00 00 01 11 00 00 02 80 89 F9 F4 37 2F 1C 00 00 00 00 00 00 00 00 01 00 01 00 D6 00 00 00 20 26 03 09 15 08 FF FF 20 26 03 10 15 08 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 01 00 02 00 A8 00 00 00 BD E2 B3 FD CB F8 B6 A8 A3 AC BD AB 34 31 31 B6 CF C2 B7 C6 F7 B2 D9 D7 F7 B5 BD B8 F4 C0 EB CE BB D6 C3 B2 A2 D6 B4 D0 D0 CB F8 B6 A8 00 54 44 2D 32 30 32 36 2D 30 33 2D 30 39 2D 30 30 30 30 30 37 2D C9 E8 B1 B8 BC EC D0 DE 2D B4 F3 BA E1 C7 D9 42 32 B5 CD D1 B9 C5 E4 B5 E7 B7 BF 2D 34 31 31 B6 CF C2 B7 C6 F7 00 74 A7"
2026-03-09 15:08:27.523,TX>,1,TICKET,276,"TICKET send","7E 6C 00 00 01 00 14 01 03 00 00 11 01 00 00 01 11 00 00 02 80 89 F9 F4 37 2F 1C 00 00 00 00 00 00 00 00 01 00 01 00 D6 00 00 00 20 26 03 09 15 08 FF FF 20 26 03 10 15 08 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 01 00 02 00 A8 00 00 00 BD E2 B3 FD CB F8 B6 A8 A3 AC BD AB 34 31 31 B6 CF C2 B7 C6 F7 B2 D9 D7 F7 B5 BD B8 F4 C0 EB CE BB D6 C3 B2 A2 D6 B4 D0 D0 CB F8 B6 A8 00 54 44 2D 32 30 32 36 2D 30 33 2D 30 39 2D 30 30 30 30 30 37 2D C9 E8 B1 B8 BC EC D0 DE 2D B4 F3 BA E1 C7 D9 42 32 B5 CD D1 B9 C5 E4 B5 E7 B7 BF 2D 34 31 31 B6 CF C2 B7 C6 F7 00 74 A7"
2026-03-09 15:08:27.688,RAW~,1,NAK,0,"RAW_RX +14 bytes","7E 6C 01 00 FF 00 04 00 5A 03 00 00 00 74"
2026-03-09 15:08:27.688,RX<,1,ACK,4,"ACK for 0x03","7E 6C 01 00 FF 00 04 00 5A 03 00 00 00 74"
2026-03-09 15:08:27.691,EVT*,-1,TICKET,4,"TICKET frame 1/1 ACK","--"
2026-03-09 15:08:27.691,EVT*,-1,NAK,0,"传票发送完成，共 1 帧","--"
2026-03-09 15:08:31.024,RAW~,1,NAK,0,"RAW_RX +15 bytes","7E 6C 00 5F 01 00 05 00 11 00 00 00 00 44 A0"
2026-03-09 15:08:31.024,EVT*,-1,KEY_EVT,5,"KEY_REMOVED (钥匙拿走)","7E 6C 00 5F 01 00 05 00 11 00 00 00 00 44 A0"
2026-03-09 15:09:05.896,RAW~,1,NAK,0,"RAW_RX +15 bytes","7E 6C 00 60 01 00 05 00 11 01 00 00 00 D1 62"
2026-03-09 15:09:05.896,EVT*,-1,NAK,0,"RX drain reason=KEY_PLACED drainBytes=0 recvBufSizeBefore=0 recvBufSizeAfter=0","--"
2026-03-09 15:09:05.896,EVT*,-1,KEY_EVT,5,"KEY_PLACED (钥匙放上), drainBytes=0","7E 6C 00 60 01 00 05 00 11 01 00 00 00 D1 62"
2026-03-09 15:09:05.903,EVT*,-1,NAK,0,"KEY_STABLE window start (key placed, 600ms)","--"
2026-03-09 15:09:06.503,TX>,1,SET_COM,2,"SET_COM send","7E 6C FF 03 00 00 02 00 0F 01 1C 11"
2026-03-09 15:09:06.509,EVT*,-1,NAK,0,"KEY_STABLE_PRESENT","--"
2026-03-09 15:09:06.512,EVT*,-1,NAK,0,"钥匙已就绪，可发送 Q_TASK/DEL","--"
2026-03-09 15:09:06.685,RAW~,1,NAK,0,"RAW_RX +12 bytes","7E 6C FF 61 00 00 02 00 5A 0F A7 20"
2026-03-09 15:09:06.685,RX<,1,ACK,2,"ACK for SET_COM","7E 6C FF 61 00 00 02 00 5A 0F A7 20"
2026-03-09 15:09:16.600,RAW~,1,NAK,0,"RAW_RX +15 bytes","7E 6C 00 62 00 00 05 00 11 00 00 00 00 44 A0"
2026-03-09 15:09:16.600,EVT*,-1,KEY_EVT,5,"KEY_REMOVED (钥匙拿走)","7E 6C 00 62 00 00 05 00 11 00 00 00 00 44 A0"
2026-03-09 15:09:16.879,RAW~,1,NAK,0,"RAW_RX +15 bytes","7E 6C 00 63 00 00 05 00 11 01 00 00 00 D1 62"
