时间,方向,OpId,命令,长度,摘要,Hex
49:01.3,EVT*,-1,--,0,串口已连接: COM10 (115200/8N1),--
49:01.3,TX>,-1,SET_COM,2,SET_COM send,7E 6C FF 00 00 00 02 00 0F 01 1C 11
49:01.8,RAW~,-1,--,0,RAW_RX +12 bytes,7E 6C FF 8C 00 00 02 00 5A 0F A7 20
49:01.8,EVT*,-1,--,0,Verified port: COM10 (cmd=0x5a),--
49:01.8,RX<,-1,ACK,2,ACK for SET_COM,7E 6C FF 8C 00 00 02 00 5A 0F A7 20
49:01.8,EVT*,-1,--,0,"SET_COM ACK without KEY_EVT, schedule Q_TASK probe in 200ms",--
49:02.0,EVT*,-1,--,0,RX drain reason=pre-send Q_TASK drainBytes=0 recvBufSizeBefore=0 recvBufSizeAfter=0,--
49:02.0,EVT*,-1,Q_TASK,0,Startup probe Q_TASK send (skip keyPresent gate),--
49:02.0,TX>,-1,Q_TASK,17,Q_TASK(all) send,7E 6C FF 01 00 00 11 00 04 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF F3 26
49:03.0,WARN!,-1,Q_TASK,0,Retry 1/3 for Q_TASK,--
49:04.1,WARN!,-1,Q_TASK,0,Retry 2/3 for Q_TASK,--
49:05.0,EVT*,-1,Q_TASK,0,"Startup Q_TASK probe timeout, key remains not-present",--
49:29.8,RAW~,-1,--,0,RAW_RX +15 bytes,7E 6C FF 8D 00 00 05 00 11 01 00 00 00 D1 62
49:29.8,EVT*,-1,--,0,RX drain reason=KEY_PLACED drainBytes=0 recvBufSizeBefore=0 recvBufSizeAfter=0,--
49:29.8,EVT*,-1,KEY_EVT,5,"KEY_PLACED (钥匙放上), drainBytes=0",7E 6C FF 8D 00 00 05 00 11 01 00 00 00 D1 62
49:29.8,EVT*,-1,--,0,"KEY_STABLE window start (key placed, 600ms)",--
49:30.1,RAW~,-1,--,0,RAW_RX +6 bytes,00 00 80 E0 F0 E0
49:30.1,WARN!,-1,--,0,Noise during KEY_STABLE (raw chunk),00 00 80 E0 F0 E0
49:30.1,WARN!,-1,--,0,Noise during KEY_STABLE (no header),00 00 80 E0 F0
49:30.1,WARN!,-1,--,0,RESYNC no-header dropBytes=5 recvBufBefore=6 recvBufAfter=1,00 00 80 E0 F0
49:30.1,RAW~,-1,--,0,RAW_RX +48 bytes,00 10 E0 00 00 00 00 00 00 00 00 18 00 00 20 00 F0 80 10 FC 80 FF FC F0 20 00 3C 00 00 FC 10 00 FE 00 00 81 DE FE F0 38 00 00 08 00 02 00 00 00
49:30.1,WARN!,-1,--,0,Noise during KEY_STABLE (raw chunk),00 10 E0 00 00 00 00 00 00 00 00 18 00 00 20 00 F0 80 10 FC 80 FF FC F0 20 00 3C 00 00 FC 10 00 FE 00 00 81 DE FE F0 38 00 00 08 00 02 00 00 00
49:30.1,WARN!,-1,--,0,Noise during KEY_STABLE (no header),E0 00 10 E0 00 00 00 00 00 00 00 00 18 00 00 20 00 F0 80 10 FC 80 FF FC F0 20 00 3C 00 00 FC 10 00 FE 00 00 81 DE FE F0 38 00 00 08 00 02 00 00
49:30.1,WARN!,-1,--,0,RESYNC no-header dropBytes=48 recvBufBefore=49 recvBufAfter=1,E0 00 10 E0 00 00 00 00 00 00 00 00 18 00 00 20 00 F0 80 10 FC 80 FF FC F0 20 00 3C 00 00 FC 10 00 FE 00 00 81 DE FE F0 38 00 00 08 00 02 00 00
49:30.2,RAW~,-1,--,0,RAW_RX +34 bytes,00 00 00 F0 02 00 00 00 00 FD CC 7F 00 0C F8 00 00 00 24 C0 FE FC F0 F8 41 00 00 00 00 7C 02 03 21 00
