时间,方向,OpId,命令,长度,摘要,Hex
2026-03-01 03:48:01.992,ERR!,-1,NAK,0,"SerialError(1): 系统找不到指定的文件。","--"
2026-03-01 03:48:01.994,WARN!,-1,NAK,0,"串口硬错误，尝试重连同一端口 COM10","--"
2026-03-01 03:48:01.995,ERR!,-1,NAK,0,"无法打开 COM10: 系统找不到指定的文件。","--"
2026-03-01 03:48:02.296,ERR!,-1,NAK,0,"SerialError(1): 系统找不到指定的文件。","--"
2026-03-01 03:48:02.297,WARN!,-1,NAK,0,"串口硬错误，尝试重连同一端口 COM10","--"
2026-03-01 03:48:02.299,ERR!,-1,NAK,0,"无法打开 COM10: 系统找不到指定的文件。","--"
2026-03-01 03:48:02.599,ERR!,-1,NAK,0,"SerialError(1): 系统找不到指定的文件。","--"
2026-03-01 03:48:02.601,WARN!,-1,NAK,0,"串口硬错误，尝试重连同一端口 COM10","--"
2026-03-01 03:48:02.602,ERR!,-1,NAK,0,"无法打开 COM10: 系统找不到指定的文件。","--"
2026-03-01 03:48:02.903,ERR!,-1,NAK,0,"SerialError(1): 系统找不到指定的文件。","--"
2026-03-01 03:48:02.905,WARN!,-1,NAK,0,"串口硬错误，尝试重连同一端口 COM10","--"
2026-03-01 03:48:02.906,ERR!,-1,NAK,0,"无法打开 COM10: 系统找不到指定的文件。","--"
2026-03-01 03:48:03.207,ERR!,-1,NAK,0,"SerialError(1): 系统找不到指定的文件。","--"
2026-03-01 03:48:03.209,WARN!,-1,NAK,0,"串口硬错误，尝试重连同一端口 COM10","--"
2026-03-01 03:48:03.211,ERR!,-1,NAK,0,"无法打开 COM10: 系统找不到指定的文件。","--"
2026-03-01 03:48:03.511,ERR!,-1,NAK,0,"SerialError(1): 系统找不到指定的文件。","--"
2026-03-01 03:48:03.513,WARN!,-1,NAK,0,"串口硬错误，尝试重连同一端口 COM10","--"
2026-03-01 03:48:03.515,ERR!,-1,NAK,0,"无法打开 COM10: 系统找不到指定的文件。","--"
2026-03-01 03:48:03.816,ERR!,-1,NAK,0,"SerialError(1): 系统找不到指定的文件。","--"
2026-03-01 03:48:03.818,WARN!,-1,NAK,0,"串口硬错误，尝试重连同一端口 COM10","--"
2026-03-01 03:48:03.820,ERR!,-1,NAK,0,"无法打开 COM10: 系统找不到指定的文件。","--"
2026-03-01 03:48:04.121,ERR!,-1,NAK,0,"SerialError(1): 系统找不到指定的文件。","--"
2026-03-01 03:48:04.123,WARN!,-1,NAK,0,"串口硬错误，尝试重连同一端口 COM10","--"
2026-03-01 03:48:04.125,ERR!,-1,NAK,0,"无法打开 COM10: 系统找不到指定的文件。","--"
2026-03-01 03:48:04.426,ERR!,-1,NAK,0,"SerialError(1): 系统找不到指定的文件。","--"
2026-03-01 03:48:04.428,WARN!,-1,NAK,0,"串口硬错误，尝试重连同一端口 COM10","--"
2026-03-01 03:48:04.430,ERR!,-1,NAK,0,"无法打开 COM10: 系统找不到指定的文件。","--"
2026-03-01 03:48:04.731,ERR!,-1,NAK,0,"SerialError(1): 系统找不到指定的文件。","--"
2026-03-01 03:48:04.733,WARN!,-1,NAK,0,"串口硬错误，尝试重连同一端口 COM10","--"
2026-03-01 03:48:04.735,ERR!,-1,NAK,0,"无法打开 COM10: 系统找不到指定的文件。","--"
2026-03-01 03:48:05.035,ERR!,-1,NAK,0,"SerialError(1): 系统找不到指定的文件。","--"
2026-03-01 03:48:05.037,WARN!,-1,NAK,0,"串口硬错误，尝试重连同一端口 COM10","--"
2026-03-01 03:48:05.039,ERR!,-1,NAK,0,"无法打开 COM10: 系统找不到指定的文件。","--"
2026-03-01 03:48:05.339,ERR!,-1,NAK,0,"SerialError(1): 系统找不到指定的文件。","--"
2026-03-01 03:48:05.341,WARN!,-1,NAK,0,"串口硬错误，尝试重连同一端口 COM10","--"
2026-03-01 03:48:05.343,ERR!,-1,NAK,0,"无法打开 COM10: 系统找不到指定的文件。","--"
2026-03-01 03:48:05.643,ERR!,-1,NAK,0,"SerialError(1): 系统找不到指定的文件。","--"
2026-03-01 03:48:05.645,WARN!,-1,NAK,0,"串口硬错误，尝试重连同一端口 COM10","--"
2026-03-01 03:48:05.647,ERR!,-1,NAK,0,"无法打开 COM10: 系统找不到指定的文件。","--"
2026-03-01 03:48:05.948,ERR!,-1,NAK,0,"SerialError(1): 系统找不到指定的文件。","--"
2026-03-01 03:48:05.950,WARN!,-1,NAK,0,"串口硬错误，尝试重连同一端口 COM10","--"
2026-03-01 03:48:05.952,ERR!,-1,NAK,0,"无法打开 COM10: 系统找不到指定的文件。","--"
2026-03-01 03:48:06.252,ERR!,-1,NAK,0,"SerialError(1): 系统找不到指定的文件。","--"
2026-03-01 03:48:06.254,WARN!,-1,NAK,0,"串口硬错误，尝试重连同一端口 COM10","--"
