\u65f6\u95f4	\u65b9\u5411	OpId	\u547d\u4ee4	\u957f\u5ea6	\u6458\u8981	Hex
2026-03-26 15:25:06.732	EVT*	-1	--	0	\u4e32\u53e3\u5df2\u8fde\u63a5: /dev/ttyS4 (115200/8N1)	--
2026-03-26 15:25:06.732	TX>	-1	SET_COM	2	SET_COM send	7E 6C FF 00 00 00 02 00 0F 01 1C 11
2026-03-26 15:25:07.564	RAW~	-1	--	0	RAW_RX +12 bytes	7E 6C FF 14 00 00 02 00 5A 0F A7 20
2026-03-26 15:25:07.564	EVT*	-1	--	0	Verified port: ttyS4 (cmd=0x5a)	--
2026-03-26 15:25:07.564	RX<	-1	ACK	2	ACK for SET_COM	7E 6C FF 14 00 00 02 00 5A 0F A7 20
2026-03-26 15:25:07.564	EVT*	-1	--	0	SET_COM ACK without KEY_EVT, schedule Q_TASK probe in 200ms	--
2026-03-26 15:25:07.765	EVT*	-1	--	0	RX drain reason=pre-send Q_TASK drainBytes=0 recvBufSizeBefore=0 recvBufSizeAfter=0	--
2026-03-26 15:25:07.765	EVT*	-1	Q_TASK	0	Startup probe Q_TASK send (skip keyPresent gate)	--
2026-03-26 15:25:07.765	TX>	-1	Q_TASK	17	Q_TASK(all) send	7E 6C FF 01 00 00 11 00 04 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF F3 26
2026-03-26 15:25:07.770	RAW~	-1	--	0	RAW_RX +12 bytes	7E 6C 01 01 FF 00 02 00 04 00 D1 4C
2026-03-26 15:25:07.770	EVT*	-1	Q_TASK	0	Q_TASK RX observed frame header 7E6C	--
2026-03-26 15:25:07.770	EVT*	-1	Q_TASK	2	Q_TASK probe confirmed key present	--
2026-03-26 15:25:07.771	EVT*	-1	--	0	RX drain reason=pre-send Q_TASK drainBytes=0 recvBufSizeBefore=0 recvBufSizeAfter=0	--
2026-03-26 15:25:07.771	TX>	1	Q_TASK	17	Q_TASK(all) send	7E 6C FF 02 00 00 11 00 04 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF F3 26
2026-03-26 15:25:07.771	EVT*	-1	Q_TASK	2	Q_TASK response marked key stable	--
2026-03-26 15:25:07.771	RX<	1	Q_TASK	2	Q_TASK resp: count=0	7E 6C 01 01 FF 00 02 00 04 00 D1 4C
2026-03-26 15:25:07.771	EVT*	-1	--	0	\u534f\u8bae\u901a\u8baf\u5df2\u786e\u8ba4\uff1aQ_TASK response	--
2026-03-26 15:25:07.776	RAW~	1	--	0	RAW_RX +12 bytes	7E 6C 01 02 FF 00 02 00 04 00 D1 4C
2026-03-26 15:25:07.776	EVT*	-1	Q_TASK	0	Q_TASK RX observed frame header 7E6C	--
2026-03-26 15:25:07.776	RX<	1	Q_TASK	2	Q_TASK resp: count=0	7E 6C 01 02 FF 00 02 00 04 00 D1 4C
2026-03-26 15:26:37.270	RAW~	2	--	0	[TICKET_PAYLOAD] STATIONID=0X01 HEADER=160B	--
2026-03-26 15:26:37.270	RAW~	2	--	0	\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500	--
2026-03-26 15:26:37.270	RAW~	2	--	0	  taskId=2037059029316804610 convOk=true taskType=0	--
2026-03-26 15:26:37.270	RAW~	2	--	0	  stepNum=1 stepTableStart=160 stringAreaStart=168	--
2026-03-26 15:26:37.270	RAW~	2	--	0	  stepDetail[0] off=168 len=46	--
2026-03-26 15:26:37.270	RAW~	2	--	0	  taskName off=214 len=59	--
2026-03-26 15:26:37.270	RAW~	2	--	0	  payloadLen=273 fileSize=273 check=11 01 00 00 01 11 00 00	--
2026-03-26 15:26:37.270	EVT*	-1	--	0	\u4f20\u7968\u5df2\u7f16\u7801\uff1apayload=273B frameCount=1	--
2026-03-26 15:26:37.270	EVT*	-1	--	0	\u53d1\u9001\u4f20\u7968\u5e27 1/1 Cmd=0x03 Payload=273B	--
2026-03-26 15:26:37.270	EVT*	-1	TICKET	276	TICKET frame 1/1 send	7E 6C 00 00 01 00 14 01 03 00 00 11 01 00 00 01 11 00 00 02 20 EE F4 64 16 45 1C 00 00 00 00 00 00 00 00 01 00 01 00 D6 00 00 00 20 26 03 26 14 48 FF FF 20 26 03 27 15 26 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 01 00 02 00 A8 00 00 00 BD E2 B3 FD CB F8 B6 A8 A3 AC BD AB 34 31 31 B6 CF C2 B7 C6 F7 B2 D9 D7 F7 B5 BD B8 F4 C0 EB CE BB D6 C3 B2 A2 D6 B4 D0 D0 CB F8 B6 A8 00 54 44 2D 32 30 32 36 2D 30 33 2D 32 36 2D 30 30 30 30 30 35 2D C9 E8 B1 B8 BC EC D0 DE 2D B4 F3 BA E1 C7 D9 42 32 B5 CD D1 B9 C5 E4 B5 E7 B7 BF 2D 34 31 31 B6 CF C2 B7 C6 F7 00 FD 93
